,rlon,rlat,time,TOT_PR,year,month
1297,-2.82,-1.02,0,0.0029375504,1999,6
1298,-2.8,-1.02,0,0.0042000767,1999,6
1299,-2.78,-1.02,0,0.005784298,1999,6
1300,-2.76,-1.02,0,0.006710109,1999,6
1301,-2.74,-1.02,0,0.0112098325,1999,6
1302,-2.72,-1.02,0,0.008908412,1999,6
1303,-2.7,-1.02,0,0.0074161706,1999,6
1304,-2.68,-1.02,0,0.006868195,1999,6
1305,-2.66,-1.02,0,0.0052925698,1999,6
1306,-2.64,-1.02,0,0.01133566,1999,6
1307,-2.62,-1.02,0,0.022344744,1999,6
1308,-2.6,-1.02,0,0.022653865,1999,6
1309,-2.58,-1.02,0,0.008172795,1999,6
1310,-2.56,-1.02,0,0.008128822,1999,6
1311,-2.54,-1.02,0,0.008922469,1999,6
1312,-2.52,-1.02,0,0.007694273,1999,6
1440,-2.84,-1.0,0,0.0069877817,1999,6
1441,-2.82,-1.0,0,0.0035419785,1999,6
1442,-2.8,-1.0,0,0.0053761103,1999,6
1443,-2.78,-1.0,0,0.007924787,1999,6
1444,-2.76,-1.0,0,0.011686809,1999,6
1445,-2.74,-1.0,0,0.011934666,1999,6
1446,-2.72,-1.0,0,0.011109868,1999,6
1447,-2.7,-1.0,0,0.009035648,1999,6
1448,-2.68,-1.0,0,0.0053131627,1999,6
1449,-2.66,-1.0,0,0.005346873,1999,6
1450,-2.64,-1.0,0,0.007018686,1999,6
1451,-2.62,-1.0,0,0.014520793,1999,6
1452,-2.6,-1.0,0,0.029099103,1999,6
1453,-2.58,-1.0,0,0.019208536,1999,6
1454,-2.56,-1.0,0,0.007099041,1999,6
1455,-2.54,-1.0,0,0.0062071034,1999,6
1456,-2.52,-1.0,0,0.0045001265,1999,6
1584,-2.84,-0.98,0,0.006070295,1999,6
1585,-2.82,-0.98,0,0.0057670036,1999,6
1586,-2.8,-0.98,0,0.0075638937,1999,6
1587,-2.78,-0.98,0,0.008562758,1999,6
1588,-2.76,-0.98,0,0.0121950945,1999,6
1589,-2.74,-0.98,0,0.017484946,1999,6
1590,-2.72,-0.98,0,0.01837288,1999,6
1591,-2.7,-0.98,0,0.012974231,1999,6
1592,-2.68,-0.98,0,0.0059526344,1999,6
1593,-2.66,-0.98,0,0.0044695595,1999,6
1594,-2.64,-0.98,0,0.0063421894,1999,6
1595,-2.62,-0.98,0,0.0058837724,1999,6
1596,-2.6,-0.98,0,0.02193836,1999,6
1597,-2.58,-0.98,0,0.027336992,1999,6
1598,-2.56,-0.98,0,0.0050550844,1999,6
1599,-2.54,-0.98,0,0.0034618203,1999,6
1600,-2.52,-0.98,0,0.0023204584,1999,6
1728,-2.84,-0.96,0,0.005023745,1999,6
1729,-2.82,-0.96,0,0.006584747,1999,6
1730,-2.8,-0.96,0,0.0070844027,1999,6
1731,-2.78,-0.96,0,0.0054132068,1999,6
1732,-2.76,-0.96,0,0.0063836365,1999,6
1733,-2.74,-0.96,0,0.014101805,1999,6
1734,-2.72,-0.96,0,0.01984915,1999,6
1735,-2.7,-0.96,0,0.015520675,1999,6
1736,-2.68,-0.96,0,0.0064367247,1999,6
